presion,alture,altitud_sobre_nivel_mar,hora,visible_image,thermal_image
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_11_488726'.jpg,images/b'flir_visible_image_2023_05_26_14_47_11_488726'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_11_632986'.jpg,images/b'flir_visible_image_2023_05_26_14_47_11_632986'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_11_780462'.jpg,images/b'flir_visible_image_2023_05_26_14_47_11_780462'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_11_917973'.jpg,images/b'flir_visible_image_2023_05_26_14_47_11_917973'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_12_069850'.jpg,images/b'flir_visible_image_2023_05_26_14_47_12_069850'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_12_237027'.jpg,images/b'flir_visible_image_2023_05_26_14_47_12_237027'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_12_379318'.jpg,images/b'flir_visible_image_2023_05_26_14_47_12_379318'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_12_530291'.jpg,images/b'flir_visible_image_2023_05_26_14_47_12_530291'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_12_713824'.jpg,images/b'flir_visible_image_2023_05_26_14_47_12_713824'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_12_858610'.jpg,images/b'flir_visible_image_2023_05_26_14_47_12_858610'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_13_010789'.jpg,images/b'flir_visible_image_2023_05_26_14_47_13_010789'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_13_164988'.jpg,images/b'flir_visible_image_2023_05_26_14_47_13_164988'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_13_313082'.jpg,images/b'flir_visible_image_2023_05_26_14_47_13_313082'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_13_463168'.jpg,images/b'flir_visible_image_2023_05_26_14_47_13_463168'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_13_633305'.jpg,images/b'flir_visible_image_2023_05_26_14_47_13_633305'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_13_821982'.jpg,images/b'flir_visible_image_2023_05_26_14_47_13_821982'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
