presion,presion_over_floor,temperature,altitude_over_sea_level_lib_bmp280,altitud_over_sea_level_lib_adafruit,altitud_over_sea_level_calculada,calculate_abs_alture,calculate_abs_alture_diff_lib_bmp280,calculate_abs_alture_diff_lib_adafruit,time
993.01352,991.25418,24.81144,176.25202,169.86149,170.54424,-14.99081,-20.26531,-14.89964,"07/25/2023, 13:59:07"
993.02083,991.25418,24.81174,176.18771,169.79958,170.48195,-15.05309,-20.32962,-14.96155,"07/25/2023, 13:59:07"
993.02815,991.25418,24.81204,176.1234,169.73767,170.41967,-15.11537,-20.39393,-15.02347,"07/25/2023, 13:59:08"
993.02203,991.25418,24.81144,176.17699,169.78946,170.47177,-15.06327,-20.34034,-14.97168,"07/25/2023, 13:59:08"
993.02373,991.25418,24.81144,176.16198,169.77505,170.45728,-15.07777,-20.35535,-14.98608,"07/25/2023, 13:59:09"
993.02134,991.25418,24.81204,176.18343,169.7953,170.47765,-15.0574,-20.3339,-14.96584,"07/25/2023, 13:59:09"
993.01522,991.25418,24.81144,176.23702,169.84709,170.52974,-15.0053,-20.28031,-14.91405,"07/25/2023, 13:59:10"
993.01522,991.25418,24.81144,176.23702,169.84709,170.52974,-15.0053,-20.28031,-14.91405,"07/25/2023, 13:59:10"
993.01522,991.25418,24.81144,176.23702,169.84709,170.52974,-15.0053,-20.28031,-14.91405,"07/25/2023, 13:59:11"
993.01471,991.25418,24.81113,176.2413,169.85137,170.53405,-15.00099,-20.27603,-14.90976,"07/25/2023, 13:59:11"
993.01591,991.25418,24.81083,176.23057,169.84124,170.52386,-15.01118,-20.28676,-14.91989,"07/25/2023, 13:59:12"
993.01287,991.25418,24.80901,176.25626,169.86694,170.54971,-14.98533,-20.26107,-14.89419,"07/25/2023, 13:59:12"
993.01269,991.25418,24.80992,176.25842,169.8685,170.55128,-14.98376,-20.25891,-14.89263,"07/25/2023, 13:59:13"
993.0149,991.25418,24.81022,176.23913,169.84981,170.53248,-15.00256,-20.2782,-14.91132,"07/25/2023, 13:59:13"
993.01761,991.25418,24.81083,176.21556,169.82684,170.50937,-15.02567,-20.30177,-14.9343,"07/25/2023, 13:59:14"
993.01471,991.25418,24.81113,176.2413,169.85137,170.53405,-15.00099,-20.27603,-14.90976,"07/25/2023, 13:59:14"
